GPU,Application,Timestamp,GPU1 memory usage (MB),GPU1 core clock (MHz),GPU1 memory clock (MHz),GPU1 power (W),GPU1 temp limit,GPU1 power limit,GPU1 voltage limit,GPU1 no load limit,CPU temperature (°C),CPU usage (%),CPU clock (MHz),CPU power (W),RAM usage (MB),Commit charge (MB),Framerate (FPS),Frametime (ms),Framerate Min (FPS),Framerate Avg (FPS),Framerate Max (FPS),Framerate 1% Low (FPS),Framerate 0.1% Low (FPS),GPU1 temperature (°C),GPU1 usage (%)
NVIDIA GeForce GTX 1650,Wuthering Waves,03-01-2026 21:32:32,3754.973,1785.000,6120.984,38.570,0.000,0.000,0.000,1.000,86.000,66.898,4000.000,44.460,14925.000,23643.000,53.500,47.632,N/A,N/A,N/A,N/A,N/A,71.000,73.000
NVIDIA GeForce GTX 1650,Wuthering Waves,03-01-2026 21:32:33,3765.973,1785.000,6120.984,41.500,0.000,0.000,0.000,1.000,88.000,58.518,3900.000,43.325,14922.000,23675.000,55.800,51.735,N/A,N/A,N/A,N/A,N/A,71.000,68.000
NVIDIA GeForce GTX 1650,Wuthering Waves,03-01-2026 21:32:34,3805.035,1785.000,6120.984,41.715,0.000,0.000,0.000,1.000,88.000,55.096,4200.000,44.401,14958.000,23723.000,58.700,22.769,N/A,N/A,N/A,N/A,N/A,71.000,76.000
NVIDIA GeForce GTX 1650,Wuthering Waves,03-01-2026 21:32:35,3805.035,1785.000,6120.984,42.222,0.000,0.000,0.000,1.000,86.000,52.112,4000.000,43.148,14912.000,23660.000,60.000,23.547,N/A,N/A,N/A,N/A,N/A,72.000,77.000
NVIDIA GeForce GTX 1650,Wuthering Waves,03-01-2026 21:32:36,3805.035,1785.000,6120.984,41.268,0.000,0.000,0.000,1.000,83.000,44.951,4200.000,42.534,14948.000,23674.000,60.200,22.433,N/A,N/A,N/A,N/A,N/A,71.000,79.000
NVIDIA GeForce GTX 1650,Wuthering Waves,03-01-2026 21:32:37,3805.035,1785.000,6120.984,42.311,0.000,0.000,0.000,1.000,85.000,40.369,4200.000,40.538,14952.000,23670.000,60.300,21.930,N/A,N/A,N/A,N/A,N/A,71.000,76.000
NVIDIA GeForce GTX 1650,Wuthering Waves,03-01-2026 21:32:38,3814.035,1785.000,6120.984,44.907,0.000,0.000,0.000,1.000,88.000,50.675,4200.000,44.848,15028.000,23725.000,58.100,41.429,N/A,N/A,N/A,N/A,N/A,72.000,75.000
NVIDIA GeForce GTX 1650,Wuthering Waves,03-01-2026 21:32:39,3830.035,1785.000,6120.984,42.910,0.000,0.000,0.000,1.000,84.000,44.426,4300.000,42.625,15035.000,23724.000,59.700,21.944,N/A,N/A,N/A,N/A,N/A,72.000,78.000
NVIDIA GeForce GTX 1650,Wuthering Waves,03-01-2026 21:32:40,3830.035,1785.000,6120.984,41.942,0.000,0.000,0.000,1.000,85.000,42.722,4200.000,41.082,15020.000,23721.000,59.500,25.483,N/A,N/A,N/A,N/A,N/A,71.000,77.000
NVIDIA GeForce GTX 1650,Wuthering Waves,03-01-2026 21:32:41,3781.723,1785.000,6120.984,42.836,0.000,0.000,0.000,1.000,88.000,46.487,4200.000,42.602,15066.000,23740.000,59.000,33.462,N/A,N/A,N/A,N/A,N/A,71.000,77.000
NVIDIA GeForce GTX 1650,Wuthering Waves,03-01-2026 21:32:42,3763.348,1785.000,6120.984,41.727,0.000,0.000,0.000,1.000,85.000,49.132,4200.000,42.698,15025.000,23673.000,60.300,22.165,N/A,N/A,N/A,N/A,N/A,72.000,76.000
NVIDIA GeForce GTX 1650,Wuthering Waves,03-01-2026 21:32:43,3766.410,1785.000,6120.984,42.013,0.000,0.000,0.000,1.000,90.000,63.636,4200.000,49.466,15053.000,23704.000,57.000,40.485,N/A,N/A,N/A,N/A,N/A,72.000,72.000
NVIDIA GeForce GTX 1650,Wuthering Waves,03-01-2026 21:32:44,3781.535,1785.000,6120.984,41.073,0.000,0.000,0.000,1.000,86.000,45.359,4200.000,42.011,15047.000,23658.000,59.700,22.969,N/A,N/A,N/A,N/A,N/A,72.000,78.000
NVIDIA GeForce GTX 1650,Wuthering Waves,03-01-2026 21:32:45,3797.660,1785.000,6120.984,44.513,0.000,0.000,0.000,1.000,83.000,49.837,4200.000,44.035,15083.000,23689.000,59.700,29.821,N/A,N/A,N/A,N/A,N/A,72.000,77.000
NVIDIA GeForce GTX 1650,Wuthering Waves,03-01-2026 21:32:46,3797.660,1785.000,6120.984,42.196,0.000,0.000,0.000,1.000,86.000,41.249,4200.000,41.517,15096.000,23687.000,59.900,21.770,N/A,N/A,N/A,N/A,N/A,71.000,76.000
NVIDIA GeForce GTX 1650,Wuthering Waves,03-01-2026 21:32:47,3817.910,1785.000,6120.984,40.154,0.000,0.000,0.000,1.000,85.000,46.265,4200.000,42.126,15110.000,23689.000,58.800,27.508,N/A,N/A,N/A,N/A,N/A,71.000,75.000
NVIDIA GeForce GTX 1650,Wuthering Waves,03-01-2026 21:32:48,3818.035,1785.000,6120.984,42.292,0.000,1.000,0.000,0.000,86.000,48.707,4200.000,44.295,15131.000,23707.000,60.100,30.551,N/A,N/A,N/A,N/A,N/A,72.000,74.000
NVIDIA GeForce GTX 1650,Wuthering Waves,03-01-2026 21:32:49,3818.160,1770.000,6120.984,42.804,0.000,1.000,0.000,0.000,84.000,60.781,4100.000,42.742,15166.000,23721.000,57.200,33.740,N/A,N/A,N/A,N/A,N/A,72.000,77.000
NVIDIA GeForce GTX 1650,Wuthering Waves,03-01-2026 21:32:50,3823.848,1785.000,6120.984,45.582,0.000,0.000,0.000,1.000,86.000,45.123,4200.000,42.352,15186.000,23719.000,60.000,26.019,N/A,N/A,N/A,N/A,N/A,72.000,81.000
NVIDIA GeForce GTX 1650,Wuthering Waves,03-01-2026 21:32:51,3832.598,1785.000,6120.984,28.311,0.000,0.000,0.000,1.000,83.000,57.866,4200.000,42.203,15315.000,23847.000,55.200,72.950,N/A,N/A,N/A,N/A,N/A,71.000,78.000
NVIDIA GeForce GTX 1650,Wuthering Waves,03-01-2026 21:32:52,3807.535,1785.000,6120.984,31.023,0.000,0.000,0.000,1.000,88.000,77.079,4100.000,44.155,14974.000,24016.000,55.400,27.366,N/A,N/A,N/A,N/A,N/A,70.000,57.000
NVIDIA GeForce GTX 1650,Wuthering Waves,03-01-2026 21:32:53,3774.973,1785.000,6120.984,28.352,0.000,0.000,0.000,1.000,85.000,89.636,3700.000,43.066,14800.000,24083.000,46.600,57.104,N/A,N/A,N/A,N/A,N/A,70.000,47.000
NVIDIA GeForce GTX 1650,Wuthering Waves,03-01-2026 21:32:54,3789.973,1785.000,6120.984,41.950,0.000,0.000,0.000,1.000,86.000,84.714,4000.000,43.631,14896.000,24108.000,49.300,42.279,N/A,N/A,N/A,N/A,N/A,72.000,58.000
NVIDIA GeForce GTX 1650,Wuthering Waves,03-01-2026 21:32:55,3789.973,1785.000,6120.984,40.147,0.000,0.000,0.000,1.000,87.000,75.724,3900.000,43.390,14915.000,24107.000,56.500,31.439,N/A,N/A,N/A,N/A,N/A,71.000,82.000
NVIDIA GeForce GTX 1650,Wuthering Waves,03-01-2026 21:32:56,3789.973,1785.000,6120.984,43.511,0.000,0.000,0.000,1.000,86.000,83.739,3900.000,42.975,14913.000,24106.000,53.200,35.949,N/A,N/A,N/A,N/A,N/A,72.000,77.000
NVIDIA GeForce GTX 1650,Wuthering Waves,03-01-2026 21:32:57,3789.973,1785.000,6120.984,44.311,0.000,0.000,0.000,1.000,85.000,76.584,4000.000,42.955,14926.000,24108.000,55.500,26.131,N/A,N/A,N/A,N/A,N/A,72.000,80.000
NVIDIA GeForce GTX 1650,Wuthering Waves,03-01-2026 21:32:58,3791.785,1785.000,6120.984,36.087,0.000,0.000,0.000,1.000,85.000,80.536,3900.000,43.008,14952.000,24119.000,44.700,114.605,N/A,N/A,N/A,N/A,N/A,71.000,82.000
NVIDIA GeForce GTX 1650,Wuthering Waves,03-01-2026 21:32:59,3800.035,1785.000,6120.984,41.272,0.000,0.000,0.000,1.000,86.000,82.920,3800.000,43.068,14977.000,24131.000,42.900,45.374,N/A,N/A,N/A,N/A,N/A,71.000,54.000
NVIDIA GeForce GTX 1650,Wuthering Waves,03-01-2026 21:33:00,3784.160,1785.000,6120.984,42.084,0.000,0.000,0.000,1.000,85.000,73.483,3900.000,42.936,14989.000,24151.000,45.700,44.237,N/A,N/A,N/A,N/A,N/A,72.000,75.000
NVIDIA GeForce GTX 1650,Wuthering Waves,03-01-2026 21:33:01,3784.160,1785.000,6120.984,42.276,0.000,0.000,0.000,1.000,86.000,74.710,3900.000,42.470,15007.000,24158.000,44.500,37.951,N/A,N/A,N/A,N/A,N/A,71.000,73.000
NVIDIA GeForce GTX 1650,Wuthering Waves,03-01-2026 21:33:02,3784.285,1785.000,6120.984,35.413,0.000,0.000,0.000,1.000,88.000,70.662,4000.000,44.085,15048.000,24175.000,48.500,39.829,N/A,N/A,N/A,N/A,N/A,71.000,70.000
NVIDIA GeForce GTX 1650,Wuthering Waves,03-01-2026 21:33:03,3784.660,1785.000,6120.984,42.407,0.000,0.000,0.000,1.000,88.000,74.046,3900.000,43.899,15056.000,24163.000,50.200,34.344,N/A,N/A,N/A,N/A,N/A,72.000,68.000
NVIDIA GeForce GTX 1650,Wuthering Waves,03-01-2026 21:33:04,3784.660,1785.000,6120.984,40.748,0.000,0.000,0.000,1.000,85.000,64.814,4000.000,43.926,15007.000,24088.000,56.700,35.892,N/A,N/A,N/A,N/A,N/A,71.000,75.000
NVIDIA GeForce GTX 1650,Wuthering Waves,03-01-2026 21:33:05,3784.660,1785.000,6120.984,40.076,0.000,0.000,0.000,1.000,88.000,66.011,4000.000,43.729,15031.000,24102.000,58.300,26.807,N/A,N/A,N/A,N/A,N/A,72.000,75.000
NVIDIA GeForce GTX 1650,Wuthering Waves,03-01-2026 21:33:06,3784.660,1785.000,6120.984,40.567,0.000,0.000,0.000,1.000,87.000,61.333,4000.000,43.758,15026.000,24077.000,60.000,26.907,N/A,N/A,N/A,N/A,N/A,72.000,74.000
