GPU,Application,Timestamp,GPU1 memory usage (MB),GPU1 core clock (MHz),GPU1 memory clock (MHz),GPU1 power (W),GPU1 temp limit,GPU1 power limit,GPU1 voltage limit,GPU1 no load limit,CPU temperature (°C),CPU usage (%),CPU clock (MHz),CPU power (W),RAM usage (MB),Commit charge (MB),Framerate (FPS),Frametime (ms),Framerate Min (FPS),Framerate Avg (FPS),Framerate Max (FPS),Framerate 1% Low (FPS),Framerate 0.1% Low (FPS),GPU1 temperature (°C),GPU1 usage (%)
NVIDIA GeForce GTX 1650,Wuthering Waves,03-01-2026 21:32:22,3584.223,1785.000,6120.984,42.417,0.000,0.000,0.000,1.000,83.000,49.039,4200.000,43.448,14478.000,23166.000,60.100,22.239,N/A,N/A,N/A,N/A,N/A,71.000,79.000
NVIDIA GeForce GTX 1650,Wuthering Waves,03-01-2026 21:32:23,3600.223,1785.000,6120.984,44.809,0.000,0.000,0.000,1.000,85.000,51.097,4200.000,45.406,14496.000,23178.000,59.900,27.735,N/A,N/A,N/A,N/A,N/A,71.000,79.000
NVIDIA GeForce GTX 1650,Wuthering Waves,03-01-2026 21:32:24,3617.410,1785.000,6120.984,33.137,0.000,0.000,0.000,1.000,93.000,63.997,4200.000,50.664,14571.000,23254.000,53.500,41.887,N/A,N/A,N/A,N/A,N/A,70.000,82.000
NVIDIA GeForce GTX 1650,Wuthering Waves,03-01-2026 21:32:25,3630.535,1785.000,6120.984,34.237,0.000,0.000,0.000,1.000,93.000,87.228,4200.000,57.658,14666.000,23342.000,45.700,53.533,N/A,N/A,N/A,N/A,N/A,70.000,75.000
NVIDIA GeForce GTX 1650,Wuthering Waves,03-01-2026 21:32:26,3683.410,1785.000,6120.984,40.306,0.000,0.000,0.000,1.000,84.000,78.851,4000.000,46.165,14807.000,23512.000,49.100,42.427,N/A,N/A,N/A,N/A,N/A,71.000,59.000
NVIDIA GeForce GTX 1650,Wuthering Waves,03-01-2026 21:32:27,3695.785,1785.000,6120.984,41.215,0.000,0.000,0.000,1.000,86.000,60.019,4000.000,43.489,14823.000,23524.000,58.900,34.918,N/A,N/A,N/A,N/A,N/A,71.000,74.000
NVIDIA GeForce GTX 1650,Wuthering Waves,03-01-2026 21:32:28,3695.785,1785.000,6120.984,40.771,0.000,0.000,0.000,1.000,90.000,53.542,4200.000,44.639,14830.000,23533.000,59.800,29.831,N/A,N/A,N/A,N/A,N/A,71.000,74.000
NVIDIA GeForce GTX 1650,Wuthering Waves,03-01-2026 21:32:29,3695.785,1785.000,6120.984,40.638,0.000,0.000,0.000,1.000,84.000,58.374,4200.000,44.979,14849.000,23533.000,59.600,25.010,N/A,N/A,N/A,N/A,N/A,72.000,74.000
NVIDIA GeForce GTX 1650,Wuthering Waves,03-01-2026 21:32:30,3718.410,1785.000,6120.984,38.702,0.000,0.000,0.000,1.000,85.000,57.565,4100.000,44.041,14857.000,23568.000,58.400,31.317,N/A,N/A,N/A,N/A,N/A,71.000,75.000
NVIDIA GeForce GTX 1650,Wuthering Waves,03-01-2026 21:32:31,3738.535,1785.000,6120.984,41.840,0.000,0.000,0.000,1.000,85.000,55.584,4200.000,44.045,14880.000,23590.000,59.900,27.078,N/A,N/A,N/A,N/A,N/A,71.000,74.000
