GPU,Application,Timestamp,GPU1 memory usage (MB),GPU1 core clock (MHz),GPU1 memory clock (MHz),GPU1 power (W),GPU1 temp limit,GPU1 power limit,GPU1 voltage limit,GPU1 no load limit,CPU temperature (°C),CPU usage (%),CPU clock (MHz),CPU power (W),RAM usage (MB),Commit charge (MB),Framerate (FPS),Frametime (ms),Framerate Min (FPS),Framerate Avg (FPS),Framerate Max (FPS),Framerate 1% Low (FPS),Framerate 0.1% Low (FPS),GPU1 temperature (°C),GPU1 usage (%)
NVIDIA GeForce GTX 1650,Wuthering Waves,03-01-2026 21:33:22,3788.848,1785.000,6120.984,40.705,0.000,0.000,0.000,1.000,90.000,43.848,4200.000,42.397,15031.000,24117.000,60.000,23.219,N/A,N/A,N/A,N/A,N/A,72.000,75.000
NVIDIA GeForce GTX 1650,Wuthering Waves,03-01-2026 21:33:23,3788.848,1785.000,6120.984,41.329,0.000,1.000,0.000,0.000,86.000,47.430,4200.000,43.991,15009.000,24116.000,59.900,22.615,N/A,N/A,N/A,N/A,N/A,72.000,75.000
NVIDIA GeForce GTX 1650,Wuthering Waves,03-01-2026 21:33:24,3788.848,1785.000,6120.984,44.991,0.000,0.000,0.000,1.000,84.000,48.762,4200.000,43.222,14982.000,24082.000,60.000,22.703,N/A,N/A,N/A,N/A,N/A,72.000,78.000
NVIDIA GeForce GTX 1650,Wuthering Waves,03-01-2026 21:33:25,3788.848,1785.000,6120.984,42.722,0.000,0.000,0.000,1.000,86.000,45.198,4200.000,42.759,14988.000,24085.000,59.500,26.450,N/A,N/A,N/A,N/A,N/A,72.000,79.000
NVIDIA GeForce GTX 1650,Wuthering Waves,03-01-2026 21:33:26,3790.785,1785.000,6120.984,42.355,0.000,0.000,0.000,1.000,86.000,50.869,4300.000,46.017,14994.000,24094.000,59.700,29.530,N/A,N/A,N/A,N/A,N/A,72.000,78.000
NVIDIA GeForce GTX 1650,Wuthering Waves,03-01-2026 21:33:27,3790.785,1785.000,6120.984,43.174,0.000,0.000,0.000,1.000,87.000,44.220,4200.000,42.000,14994.000,24089.000,59.900,22.356,N/A,N/A,N/A,N/A,N/A,72.000,79.000
NVIDIA GeForce GTX 1650,Wuthering Waves,03-01-2026 21:33:28,3790.785,1785.000,6120.984,45.752,0.000,0.000,0.000,1.000,86.000,49.531,4200.000,44.120,15001.000,24093.000,59.000,33.894,N/A,N/A,N/A,N/A,N/A,73.000,79.000
NVIDIA GeForce GTX 1650,Wuthering Waves,03-01-2026 21:33:29,3790.785,1785.000,6120.984,43.665,0.000,0.000,0.000,1.000,86.000,57.325,4200.000,47.860,15038.000,24094.000,58.700,29.616,N/A,N/A,N/A,N/A,N/A,73.000,80.000
NVIDIA GeForce GTX 1650,Wuthering Waves,03-01-2026 21:33:30,3790.785,1785.000,6120.984,44.949,0.000,0.000,0.000,1.000,87.000,45.593,4200.000,43.454,15039.000,24088.000,59.900,24.322,N/A,N/A,N/A,N/A,N/A,73.000,81.000
NVIDIA GeForce GTX 1650,Wuthering Waves,03-01-2026 21:33:31,3790.785,1785.000,6120.984,44.292,0.000,0.000,0.000,1.000,84.000,43.365,4200.000,42.678,15049.000,24085.000,60.100,21.703,N/A,N/A,N/A,N/A,N/A,73.000,81.000
NVIDIA GeForce GTX 1650,Wuthering Waves,03-01-2026 21:33:32,3790.785,1785.000,6120.984,44.559,0.000,0.000,0.000,1.000,87.000,46.644,4200.000,42.969,15077.000,24092.000,60.300,21.677,N/A,N/A,N/A,N/A,N/A,73.000,81.000
NVIDIA GeForce GTX 1650,Wuthering Waves,03-01-2026 21:33:33,3790.785,1785.000,6120.984,43.880,0.000,0.000,0.000,1.000,84.000,45.382,4200.000,42.997,15096.000,24087.000,60.100,20.328,N/A,N/A,N/A,N/A,N/A,73.000,82.000
NVIDIA GeForce GTX 1650,Wuthering Waves,03-01-2026 21:33:34,3790.785,1785.000,6120.984,44.167,0.000,0.000,0.000,1.000,87.000,42.614,4200.000,42.525,15107.000,24087.000,59.800,21.145,N/A,N/A,N/A,N/A,N/A,73.000,81.000
NVIDIA GeForce GTX 1650,Wuthering Waves,03-01-2026 21:33:35,3790.785,1785.000,6120.984,43.121,0.000,0.000,0.000,1.000,88.000,46.310,4200.000,43.160,15119.000,24092.000,60.400,25.456,N/A,N/A,N/A,N/A,N/A,73.000,81.000
NVIDIA GeForce GTX 1650,Wuthering Waves,03-01-2026 21:33:36,3790.785,1785.000,6120.984,43.322,0.000,0.000,0.000,1.000,84.000,54.160,4200.000,45.418,15110.000,24057.000,59.000,41.409,N/A,N/A,N/A,N/A,N/A,73.000,78.000
