GPU,Application,Timestamp,GPU usage (%),Memory usage (MB),Power (W),CPU usage (%),RAM usage (MB),Framerate (FPS),Frametime (ms),Framerate Min (FPS),Framerate Avg (FPS),Framerate Max (FPS),Framerate 1% Low (FPS),Framerate 0.1% Low (FPS)
NVIDIA GeForce RTX 4060,Hogwart Legacy,4/1/2026 14:37,89,7426.789,95.242,57.027,28132,66.2,67.26,24,61.3,83.7,10.8,7.4
NVIDIA GeForce RTX 4060,Hogwart Legacy,4/1/2026 14:37,74,7373.852,111.649,55.416,28120,71.7,52.47,24,61.3,83.7,10.8,7.4
NVIDIA GeForce RTX 4060,Hogwart Legacy,4/1/2026 14:37,82,7371.914,102.415,48.19,28044,74.4,60.187,24,61.4,83.7,10.8,7.4
NVIDIA GeForce RTX 4060,Hogwart Legacy,4/1/2026 14:37,78,7425.414,108.48,50.007,28046,72.7,63.556,24,61.5,83.7,10.8,7.4
NVIDIA GeForce RTX 4060,Hogwart Legacy,4/1/2026 14:37,85,7426.977,100.991,47.322,28042,76.7,35.784,24,61.5,83.7,10.8,7.4
NVIDIA GeForce RTX 4060,Hogwart Legacy,4/1/2026 14:37,82,7420.102,109.264,49.8,28008,78.1,47.16,24,61.6,83.7,10.8,7.4
NVIDIA GeForce RTX 4060,Hogwart Legacy,4/1/2026 14:37,84,7418.164,106.269,48.869,27994,78,31.637,24,61.7,83.7,10.8,7.4
NVIDIA GeForce RTX 4060,Hogwart Legacy,4/1/2026 14:37,82,7401.539,97.291,48.915,27999,76.5,33.321,24,61.8,83.7,10.8,7.4
NVIDIA GeForce RTX 4060,Hogwart Legacy,4/1/2026 14:37,82,7401.164,107.3,55.864,27999,74.7,36.242,24,61.9,83.7,10.8,7.4
NVIDIA GeForce RTX 4060,Hogwart Legacy,4/1/2026 14:37,85,7377.914,101.526,58.808,28083,68.9,69.08,24,61.9,83.7,10.8,7.4
NVIDIA GeForce RTX 4060,Hogwart Legacy,4/1/2026 14:37,64,7318.914,108.437,57.357,28069,73.1,59.99,24,62,83.7,10.8,7.4
NVIDIA GeForce RTX 4060,Hogwart Legacy,4/1/2026 14:37,83,7313.914,98.936,57.217,28103,71.1,74.269,24,62,83.7,10.8,7.4
NVIDIA GeForce RTX 4060,Hogwart Legacy,4/1/2026 14:37,82,7408.727,110.8,51.553,28098,71.3,61.562,24,62.1,83.7,10.8,7.4
NVIDIA GeForce RTX 4060,Hogwart Legacy,4/1/2026 14:37,82,7328.102,103.862,53.711,28074,72.8,53.377,24,62.1,83.7,10.8,7.4
NVIDIA GeForce RTX 4060,Hogwart Legacy,4/1/2026 14:37,95,7373.977,105.932,47.661,28078,72.8,60.953,24,62.2,83.7,10.8,7.4
NVIDIA GeForce RTX 4060,Hogwart Legacy,4/1/2026 14:37,82,7373.664,106.004,47.275,28098,69.9,41.369,24,62.2,83.7,10.9,7.4
NVIDIA GeForce RTX 4060,Hogwart Legacy,4/1/2026 14:37,86,7357.539,109.954,48.445,28080,69.7,39.775,24,62.2,83.7,10.9,7.4
NVIDIA GeForce RTX 4060,Hogwart Legacy,4/1/2026 14:37,80,7359.727,95.494,54.393,28067,69.6,51.287,24,62.3,83.7,10.9,7.4
NVIDIA GeForce RTX 4060,Hogwart Legacy,4/1/2026 14:37,84,7362.945,111.245,54.769,28066,74.7,39.408,24,62.3,83.7,10.9,7.4
NVIDIA GeForce RTX 4060,Hogwart Legacy,4/1/2026 14:37,84,7431.633,100.544,54.385,28090,72.5,58.614,24,62.4,83.7,10.9,7.4
NVIDIA GeForce RTX 4060,Hogwart Legacy,4/1/2026 14:37,83,7418.195,105.419,56.954,28094,74.8,55.229,24,62.4,83.7,10.9,7.4
NVIDIA GeForce RTX 4060,Hogwart Legacy,4/1/2026 14:38,81,7385.195,109.467,47.879,28086,76.8,40.99,24,62.5,83.7,10.9,7.4
NVIDIA GeForce RTX 4060,Hogwart Legacy,4/1/2026 14:38,81,7395.07,106.354,49.017,28013,77.5,40.558,24,62.6,83.7,10.9,7.4
NVIDIA GeForce RTX 4060,Hogwart Legacy,4/1/2026 14:38,83,7393.133,105.948,45.563,28007,79.8,32.98,24,62.6,83.7,10.9,7.4
